,name,rating,reviews,type,hq,old,employees
31,Ernst & Young,3.8,(5.6k Reviews),Private,London + 70 more,20 years old,50k-1 Lakh Employees (India)
32,Maruti Suzuki,4.1,(5.6k Reviews),Public,"New Delhi,Delhi + 371 more",39 years old,10k-50k Employees (India)
33,Infosys BPM,4.0,(5.4k Reviews),"Bangalore/Bengaluru,Karnataka + 44 more",20 years old,10k-50k Employees (India),
34,Samsung,4.1,(7.8k Reviews),Private,"Ridgefield Park,NJ + 420 more",84 years old,50k-1 Lakh Employees (India)
35,HSBC,4.1,(5.7k Reviews),Private,"Pune,Maharashtra + 55 more",20 years old,10k-50k Employees (India)
36,BYJU'S,3.6,(9.6k Reviews),Private,"Bangalore,Karnataka + 157 more",11 years old,1k-5k Employees (India)
37,Ericsson,4.3,(5.2k Reviews),Private,"Stockholm,Stockholm County + 129 more",146 years old,10k-50k Employees (India)
38,Bajaj Finserv,4.1,(12.9k Reviews),Public,"Pune,Maharashtra + 632 more",15 years old,10k-50k Employees (India)
39,Conneqt Business...,3.8,(4.8k Reviews),Private,"Mumbai,Maharashtra + 149 more",20 years old,10k-50k Employees (India)
40,IDFC FIRST Bank,4.0,(4.7k Reviews),Public,"Mumbai,Maharashtra + 357 more",4 years old,10k-50k Employees (India)
41,Dr. Reddy's,4.2,(4.8k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 128 more",36 years old,10k-50k Employees (India)
42,Startek,3.5,(4.6k Reviews),Public,"Mumbai,Maharashtra + 51 more",5 years old,5k-10k Employees (India)
43,Mphasis,3.8,(4.5k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 41 more",22 years old,1k-5k Employees (India)
44,Jana Small Finan...,3.9,(4.5k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 302 more",16 years old,10k-50k Employees (India)
45,Sutherland Globa...,3.9,(4.9k Reviews),Private,"Pittsford,New York + 41 more",36 years old,10k-50k Employees (India)
46,Cipla Pharmaceut...,4.1,(4.5k Reviews),Public,"Mumbai,Maharashtra + 183 more",87 years old,10k-50k Employees (India)
47,Yes Bank,4.0,(4.4k Reviews),Public,"Mumbai,Maharashtra + 350 more",18 years old,10k-50k Employees (India)
48,ICICI Prudential...,4.1,(4.3k Reviews),Public,"Mumbai,Maharashtra + 395 more",22 years old,10k-50k Employees (India)
49,Bajaj Allianz Li...,4.2,(4.4k Reviews),Private,Pune + 425 more,21 years old,10k-50k Employees (India)
50,Asian Paints,4.3,(4.8k Reviews),Public,"Mumbai,Maharashtra + 328 more",80 years old,10k-50k Employees (India)
51,NTT DATA,4.1,(8k Reviews),Private,"Chiyoda City,Tokyo + 37 more",34 years old,10k-50k Employees (India)
52,Lupin,4.2,(4.2k Reviews),Public,"Mumbai,Maharashtra + 127 more",54 years old,10k-50k Employees (India)
